篇号,篇名,内容梗概,核心考点,题量,题号列表
1,探寻红色中国,提出一些未获解答的问题；乘慢车去西安，拜访杨虎城与邵力子；经“汉代青铜”一节取得隐显墨水介绍信；在古城遗址遇见邓发；穿过红色大门，受到贫民会主席刘龙火接待。,斯诺、西安、邓发、刘龙火、红色大门、新闻封锁、未获解答的问题,27,h001、h002、h004、h011、h013、h016、h017、h018、h021、h025、h026、h031、h065、h066、h091、h092、h104、h106、h107、h112、h161、h211、h220、h257、h273、h277、h285
2,去红都的路上,遭白匪追逐，遇见第一个红军战士；在安塞初遇周恩来（“造反者”），周恩来为其起草九十二天旅程；听李长林讲述贺龙二三事；与“红军旅伴”同行，了解年轻红军的经历。,周恩来、贺龙、李长林、白匪、民团、安塞、红军旅伴、造反者,71,h010、h012、h020、h023、h024、h029、h034、h035、h038、h045、h050、h051、h052、h053、h054、h055、h056、h057、h058、h074、h077、h085、h087、h090、h092、h094、h107、h112、h142、h160、h170、h171、h174、h175、h179、h180、h181、h182、h183、h184、h185、h186、h187、h188、h189、h190、h191、h192、h193、h194、h195、h204、h205、h213、h216、h220、h223、h225、h238、h240、h246、h247、h249、h256、h262、h268、h275、h279、h280、h283、h284
3,在保安,初见毛泽东（“苏维埃掌权人物”）并记其印象；记述共产党的基本政策（反帝反封建、土地革命）；1936年7月16日晚谈抗日战争；参观红军大学（校长林彪，28岁）与“悬赏两百万元的首级”；观看红军剧社演出并访问社长危拱之。,毛泽东、保安、共产党的基本政策、论抗日战争、红军大学、林彪、红军剧社、危拱之、反帝反封建,81,h010、h012、h020、h024、h029、h034、h037、h038、h045、h063、h064、h067、h076、h081、h092、h107、h112、h125、h127、h128、h129、h130、h131、h149、h150、h154、h159、h160、h164、h165、h166、h169、h171、h173、h174、h175、h179、h180、h181、h184、h185、h186、h187、h188、h189、h190、h191、h192、h193、h194、h200、h201、h202、h204、h205、h206、h208、h213、h215、h216、h220、h223、h224、h226、h229、h233、h237、h238、h245、h247、h248、h251、h256、h263、h264、h265、h275、h279、h281、h283、h284
4,一个共产党员的由来,毛泽东长篇自述：童年（1893年生于湖南湘潭）→在长沙的日子（剪辫、参军、省立图书馆自修、湖南师范、新民学会）→革命的前奏（北大图书馆助理员、主编《湘江评论》、1920年读三本书确立信仰）→国民革命时期→苏维埃运动（评陈独秀与鲍罗廷之责）→红军的成长（三项纪律八大注意、游击战术、五次反“围剿”、1935年10月到陕北）。,毛泽东自述、童年、长沙、新民学会、北大图书馆、湘江评论、共产党宣言、马克思主义信仰、陈独秀、鲍罗廷、游击战术、三项纪律八大注意,50,h010、h012、h020、h024、h029、h034、h038、h039、h040、h041、h042、h043、h044、h045、h046、h047、h048、h049、h073、h086、h160、h171、h174、h175、h179、h181、h184、h185、h186、h187、h188、h189、h190、h192、h193、h194、h204、h205、h213、h216、h235、h238、h247、h256、h259、h272、h275、h279、h283、h284
5,长征,第五次反“围剿”与失败原因；举国大迁移——抢占皎平渡，六条大船摆渡九天，全军安然渡金沙江；大渡河英雄——通过彝族区（刘伯承歃血为盟）、奇袭安顺场、飞夺泸定桥（30勇士攀铁索）；过大草地——翻越大雪山、穿越川藏边界草地，抵达甘肃边境。,长征、第五次围剿、皎平渡、金沙江、大渡河、安顺场、泸定桥、30勇士、彝族、刘伯承、大雪山、大草地、战略性撤退,97,h010、h012、h020、h024、h029、h034、h092、h096、h097、h098、h099、h100、h101、h102、h107、h108、h109、h110、h112、h113、h114、h115、h116、h117、h118、h119、h120、h121、h122、h126、h133、h138、h143、h144、h145、h146、h147、h152、h153、h156、h157、h159、h160、h163、h164、h165、h166、h169、h171、h173、h174、h175、h177、h179、h180、h181、h184、h185、h186、h187、h188、h189、h190、h191、h192、h193、h194、h198、h203、h204、h207、h212、h214、h215、h216、h220、h221、h223、h227、h228、h236、h237、h238、h239、h241、h247、h256、h258、h260、h261、h265、h266、h275、h276、h279、h281、h284
6,红星在西北,刘志丹开创陕西苏区；持续三年的西北大灾荒与苛捐杂税（“死亡和捐税”）；苏维埃社会与各项政策；“货币解剖”；“人生五十始”——教育家徐特立五十岁投身革命与共产党的教育政策。,刘志丹、西北苏区、大灾荒、捐税、苏维埃社会、货币解剖、徐特立、人生五十始、教育政策,35,h038、h045、h061、h062、h079、h080、h092、h093、h103、h107、h112、h116、h120、h126、h132、h133、h138、h143、h147、h151、h152、h156、h205、h213、h214、h220、h230、h232、h239、h241、h242、h260、h261、h283、h286
7,去前线的路上,同红色农民谈话，比较红军与白军；苏区工业概况与吴起镇工厂工人的生活——“他们即使缺乏社会主义工业的物质，却有社会主义工业的精神”。,红色农民、苏区工业、吴起镇、工业精神、社会主义工业精神,34,h092、h095、h107、h111、h112、h116、h120、h126、h133、h138、h139、h143、h147、h152、h156、h159、h164、h165、h166、h169、h173、h178、h214、h215、h220、h237、h239、h241、h253、h260、h261、h265、h281、h288
8,同红军在一起,“真正的”红军的来历、军饷、武器来源与军官伤亡比例；彭德怀的性格与其悲惨童年、革命经历；红军采用游击战术的原因与策略；红军战士的日常生活与政治课。,彭德怀、童年、游击战术、真正的红军、红军生活、政治课、军饷,58,h010、h012、h020、h024、h029、h034、h038、h045、h070、h089、h116、h120、h126、h133、h134、h135、h138、h143、h147、h152、h156、h160、h171、h174、h175、h179、h181、h184、h185、h186、h187、h188、h189、h190、h192、h193、h194、h196、h204、h205、h213、h214、h216、h231、h238、h239、h241、h247、h254、h256、h260、h261、h269、h275、h278、h279、h283、h284
9,同红军在一起（续）,“红色窑工徐海东”的人生历程；“中国的阶级战争”给老百姓带来的杀戮与苦难；团结回族（穆斯林）人民抵抗压迫者的策略。,徐海东、红色窑工、阶级战争、回族、穆斯林、四大马,29,h038、h045、h059、h060、h078、h084、h105、h116、h120、h126、h133、h136、h137、h138、h143、h147、h152、h156、h197、h199、h205、h213、h214、h239、h241、h250、h260、h261、h283
10,战争与和平,“再谈马”；“红小鬼”——红色中国的少年们耐心、勤劳、聪明、努力学习，代表着中国的希望；“实践中的统一战线”；“关于朱德”的杰出领导才能与个人魅力。,红小鬼、朱德、统一战线、再谈马、少年先锋队、中国的希望,45,h038、h045、h068、h069、h071、h075、h082、h088、h116、h120、h126、h133、h138、h141、h143、h147、h152、h156、h159、h162、h164、h165、h166、h168、h169、h172、h173、h205、h210、h213、h214、h215、h219、h237、h239、h241、h243、h260、h261、h265、h274、h281、h283、h289、h290
