章节,本章梗概,题量,题号列表,核心考点
1,重庆地下斗争序幕——甫志高擅自开设沙坪书店、陈松林任店员；余新江目睹特务纵火；红岩村与集中营背景。,40,"q001,q003,q008,q009,q010,q014,q016,q017,q020,q021,q041,q042,q053,q055,q073,q081,q088,q137,q138,q139,q140,q141,q142,q145,q148,q149,q157,q158,q167,q170,q180,q185,q188,q190,q191,q203,q214,q216,q221,q223","任达哉,余新江,挺进报,沙坪书店,甫志高,第一个叛徒,红岩村,老大哥,郑克昌,陈松林"
2,沙坪书店接触进步青年；华为送《挺进报》；郑克昌伪装进步青年出现；成瑶初识《挺进报》。,34,"q001,q003,q009,q010,q014,q016,q017,q020,q021,q041,q042,q052,q053,q073,q081,q088,q137,q138,q139,q140,q141,q145,q148,q149,q157,q158,q167,q170,q180,q185,q188,q190,q204,q223","任达哉,华为,挺进报,沙坪书店,甫志高,第一个叛徒,郑克昌,陈松林"
3,成岗接手印刷《挺进报》；江姐接替刻写；许云峰领导部署；陈松林警觉。,47,"q011,q022,q023,q024,q025,q027,q029,q054,q061,q062,q063,q068,q075,q077,q082,q093,q094,q095,q107,q119,q137,q138,q139,q140,q141,q143,q145,q146,q147,q148,q149,q150,q152,q153,q157,q159,q160,q165,q166,q171,q179,q181,q183,q188,q218,q223,q224","11·27,任达哉,刘思扬,华子良,华蓥山,叶挺,囚歌,大屠杀,彭松涛,成岗,成瑶,挺进报,朝天门,江姐,甫志高,竹签,第一个叛徒,红岩精神,红梅赞,许云峰,许建业,重庆解放,陈然"
4,江姐赴川北，得知丈夫彭松涛（华蓥山政委）牺牲后强忍悲痛；双枪老太婆会见；华蓥山游击队背景。,42,"q022,q023,q024,q025,q038,q039,q061,q062,q077,q079,q082,q087,q119,q137,q138,q139,q140,q141,q143,q145,q146,q147,q148,q149,q150,q152,q153,q157,q159,q160,q165,q169,q179,q181,q183,q184,q188,q200,q204,q223,q224,q228","11·27,任达哉,刘思扬,华为,华子良,华蓥山,双枪老太婆,大屠杀,川东三次武装起义,彭松涛,成岗,朝天门,江姐,渣滓洞,狱中八条,甫志高,白公馆,竹签,第一个叛徒,红岩精神,红梅赞,许云峰,许建业,重庆解放,陈松林,陈然"
5,甫志高让郑克昌住进沙坪书店（引狼入室），潜伏危机加深。,21,"q041,q042,q052,q053,q073,q081,q088,q137,q138,q139,q140,q141,q145,q148,q149,q153,q157,q167,q188,q190,q223","任达哉,挺进报,沙坪书店,甫志高,第一个叛徒,郑克昌,陈松林"
6,特务“慈居”登场；徐鹏飞、沈养斋策划渗透；敌我斗争拉开。,16,"q012,q056,q069,q137,q138,q139,q140,q141,q145,q148,q149,q153,q157,q188,q195,q223","徐鹏飞,沈养斋"
7,许云峰识破郑克昌；任达哉（首个叛徒）被捕；甫志高不听劝告；地下组织开始被破坏。,37,"q030,q031,q032,q040,q041,q042,q043,q052,q053,q064,q067,q070,q072,q073,q081,q088,q096,q105,q118,q137,q138,q139,q140,q141,q145,q148,q149,q153,q157,q161,q167,q188,q190,q199,q201,q212,q223","任达哉,华子良,地窖,挺进报,沙坪书店,甫志高,监狱之花,第一个叛徒,许云峰,许建业,许晓轩,越狱,通道,郑克昌,陈松林"
8,甫志高叛变，出卖许云峰、成岗等；成岗、许云峰被捕；李敬原安排成瑶当记者。,52,"q027,q028,q029,q030,q031,q032,q040,q041,q042,q043,q051,q053,q054,q063,q064,q067,q068,q070,q072,q073,q075,q081,q085,q088,q093,q096,q101,q105,q111,q118,q137,q138,q139,q140,q141,q145,q148,q149,q151,q153,q157,q161,q166,q167,q171,q188,q190,q199,q201,q212,q218,q223","任达哉,华子良,叶挺,囚歌,地窖,大坪,徐鹏飞,成岗,成瑶,挺进报,李敬原,杨进兴,毛人凤,沙坪书店,甫志高,监狱之花,第一个叛徒,许云峰,许建业,许晓轩,越狱,通道,郑克昌,陈松林,陈然"
9,成岗受审写下《我的“自白”书》；许云峰受审；毛人凤利诱失败；沈养斋攻心劝降。,45,"q012,q027,q028,q029,q030,q031,q032,q040,q043,q054,q056,q063,q064,q067,q068,q069,q070,q072,q075,q085,q093,q101,q105,q111,q118,q137,q138,q139,q140,q141,q145,q148,q149,q153,q157,q161,q166,q171,q188,q195,q199,q201,q212,q218,q223","任达哉,华子良,叶挺,囚歌,地窖,大坪,徐鹏飞,成岗,成瑶,挺进报,沈养斋,甫志高,监狱之花,许云峰,许建业,许晓轩,越狱,通道,陈然"
10,敌特庆功宴许云峰智对；徐鹏飞技穷；《挺进报》山城再现。,34,"q011,q012,q030,q031,q032,q040,q043,q056,q064,q067,q069,q070,q072,q094,q095,q105,q107,q118,q137,q138,q139,q140,q141,q145,q148,q149,q157,q161,q188,q196,q199,q201,q212,q223","任达哉,华子良,地窖,徐鹏飞,挺进报,毛人凤,甫志高,监狱之花,许云峰,许建业,许晓轩,越狱,通道"
